origin,target
3956688544,8272765180
1037596119,1040638098
993367306,1037621686
5189491687,1067977697
999517562,8269957475
1562400811,7463907989
4444895357,994679386
1620584366,905155895
8269478253,916096344
1037553818,8213443171
1013918979,8193633595
2663230725,1039425173
1040637870,913790129
1067977659,4238539280
998978009,1620569302
1052966626,1040638000
916096344,3693867735
7182481954,7986776049
1037564597,1606493010
1037953315,8276950505
1102452333,913720931
1620584366,1040539209
914105050,8984955529
914760086,1606407286
2449854645,1040638016
913720992,3129767249
1013888124,1003137861
1040539335,993367572
993376183,994679431
1713435249,1040539269
2663237228,4479204023
8266668591,6226438952
1009926517,1642629191
2643052699,838253374
914752269,1620569312
1037596122,2449863083
2663237228,1040539250
994679487,6209230924
1040638446,3956741348
1037564613,1040638066
1037248201,8410850525
922791619,1643070590
5419179006,1040658077
8441772391,1037564528
1037553818,998956886
1080993847,5156177953
1037248225,1040539300
1040638446,836871083
991364433,8984955527
1040638372,993376259
994679415,8441772390
998592452,914760064
1037564613,1037553911
8277380488,1608050143
5219584378,1039425027
1606449558,1003137745
1040638247,4238539244
1009926521,3955657017
993376309,8441772391
8209578684,1040638082
994630575,1611173475
862286125,5212088923
5419179006,860796330
7785773643,998592529
1037553835,993367297
8204382580,8266668592
1037554069,4479204018
5156177953,9634565184
4231994879,8144992843
993376183,8277343313
8204382580,1606407565
1040638286,914749188
5419179006,7071369646
5189491687,994679809
4230311096,998967624
1037554069,922094026
5419178464,998932487
1067977659,2825575098
8266476420,1620569385
1606407524,993376295
993376226,922791599
8273361861,1037553884
7071369632,8205116473
1606407333,4428305183
8236657365,2660571953
8269478252,6488672043
1041173783,2660572004
1037250748,1407112915
993367424,993367287
922791619,993367321
2663230725,1606407565
914105217,1013888162
993376309,893416570
4230311096,1040637826
922774558,1037621649
1040539191,8460421857
914760086,1608050143
8703017687,5219584373
3611203754,1037953366
1620569149,5187435106
8984950807,6226598543
5221310053,1037596135
890465182,4297300572
5415490495,7182370460
913720992,993376353
994680099,994679806
8745502802,1783087938
1643070549,1037553814
5219659656,1037553924
8984950807,5415490492
1052966626,1040638178
914752271,5421515142
8205116472,3956741461
3366322622,1040638074
9009327213,1040637793
914760085,994630575
1040638249,914072254
2449846950,1067977552
1037564613,505385947
998956896,1040638142
916096337,1037553875
8276819620,1620440889
8277380488,6491351891
1643070515,1037953361
8266668592,1039424948
5419178996,1037553874
1040539287,994679604
