origin,target
1068148146,1145666260
993376197,991354715
1145636610,1704817591
8237474085,1557061196
1145636610,1628886269
3643421885,1068247306
1053292548,998932487
1612046435,1608036854
1557069700,2657799207
7308949593,1620584315
1621062397,922754494
1313678103,1040638349
8269682616,1141168889
5133445586,1611925463
1557077846,9836056195
1621321361,1621328921
8747418692,1620329998
3639599557,1137813238
998962627,3606255739
4230302123,8209578681
1606449620,7825304537
2791237742,2657799046
505392415,1068063669
8985488062,838253363
12964763136,2657136712
13362893189,1261276671
6511611452,1145743475
1617055018,1650442590
7768340509,913790185
1629708153,860796270
1068148006,993376153
7768340509,1052857953
7819575227,5457689334
1371610534,1619638787
1040638074,1617769259
1557585267,1631383854
1617880115,1619641166
1610961517,6518794371
6511611452,13087324582
8433893898,3484534029
1621047763,1069215559
1617880115,8273361862
2791237742,1696946286
8277145597,3637542252
8157866277,1068064169
8985488062,1068147984
1313653023,1077596287
8277145597,914752277
8485325232,1620367152
8251778248,8250961149
1037596090,1251597017
1055600722,1039425090
1068148006,13362893138
5430425049,12374107806
1617725034,1077693235
7825339312,3343376193
505200533,2382619213
8484350247,1406497169
1643105352,5030546022
1606449620,2643052712
593971682,4238539220
1559711720,9149464704
8251778248,2662558349
1620569217,1053292791
2657799012,1137877403
1145773948,1037621707
1621321361,1562048181
1068147834,1069215793
8173506229,2604851759
893759851,1620569139
8685420797,3643423728
1557069700,8240212286
1621047727,11416417359
1040637767,1068246641
8237474085,1704837714
1621054719,1617752553
1621062397,1037596128
1621067680,3606255559
5417654865,1069779586
1629708153,893759874
2657799214,1068063818
1615091814,1053292706
8277450043,1621067693
7825339312,1611827552
1610961517,1013888162
7308949593,1406365004
8277450043,11137591297
1621047727,9138285373
1262260511,1003137759
7825824922,1054445870
1262260511,1564464197
1272168295,7986776056
5039978145,1621268672
860793263,1077596407
1053292548,8266710409
1037953330,1557585253
1055600993,1617167090
1037953356,2657852403
1610961517,3604296535
1433967207,1141130849
2657799012,7986776056
8237474085,5202818827
7825339312,1053292548
8234404217,3955657041
288523430,1272168920
1055600993,1055600778
1055655358,8158379709
4949967156,1040429691
998962627,4297300557
1426678155,7822802424
7819575227,5158061544
8983271539,1620366852
1557585267,1606407302
1146451398,7157236828
3974453016,1146427117
689738858,5421515204
8983271539,5187435118
3646862695,1611202733
1313678134,1563416846
8932916522,1621067739
3643423601,1068247354
593971682,1067977634
8277450043,1137828432
1261277188,1619638795
1621067680,1611795734
1621268605,7185238014
4230302123,1621321407
1621047763,1146427110
6216269652,13020261534
3639599557,3956688552
8193884030,1645043912
7768340509,860793205
1612046520,8194325881
1371610534,1060119426
1013888053,1145669278
5116235193,3643477382
1069216427,1055655201
1137901776,1406641867
3643423601,2657136768
993376197,2657136647
2657136645,7734872421
11384939501,1621261440
6204263139,2657799105
5231304244,1261276671
7157439314,1053292695
2657799057,1621261352
8277450043,1621289909
4949967206,8173506225
8173506229,1559671372
993376197,3935141723
1643105352,7825225505
1621054719,1621054770
1039424816,424094099
3974459625,1040638386
1313653023,1732328398
1055655358,1621067681
7812149546,8984913513
1037564596,1272168196
505392415,3604296549
1557077846,1619641031
1313678134,1616705554
1617880115,1040539168
1617725034,3639575719
8234404217,1788679151
1559711720,1621261345
1620367109,7986732169
593971682,1605999113
7933167458,1621067679
2657799012,1055600988
1102452271,1722448055
6216269652,8273109252
1564460294,998967632
1040638409,1610956148
1629708153,916096508
1371610534,1609201672
1037554140,1066689764
